repository,shelfmark,title,date,origin,cats,n_cats,digitisation,digitisation_url,catalogue_url,languages,n_uncertainties
"Aargauer Kantonsbibliothek, Aarau",MsZQ 57,Arzneibuch; Deutscher Macer; Ortolf von Baierland; Mainauer Naturlehre,Second quarter of the 15th century (1425–1449); alternatively third quarter (c. 1450–1475),Southwestern Germany; high Alemannic writing dialect (catalogue attribution).,HMAN,4,catalogue-only,,https://swisscollections.ub.k8s-001.unibas.ch/Record/991170517367405501,German (high Alemannic),4
"Badische Landesbibliothek, Karlsruhe",Cod. St. Georgen 73,Medizinische Sammelhandschrift; Teil II includes Meister Berchtold Arzneibuchkompilation and Alemannisches Kräuterbuch,"Unit I: end of the 15th century (excluded from qualification); Unit II (ff. 168–243): c. 1400 (Schnell 2022), with older catalogue dating to the third quarter of the 14th century","Unit II has a positive alemannisch-schwäbisch attribution in the Handschriftencensus; ff. 172r–203r are separately described as niederalemannisch. This is an attribution of the relevant unit/language, not an inference from the present Karlsruhe repository.",HMAN,4,catalogue-only,,https://handschriftencensus.de/3721,German (alemannic-Swabian); ff. 172r–203r niederalemannic,4
"Salzburg, Universitätsbibliothek",M II 180,Sammelhandschrift mit pharmazeutischen und astronomisch-astrologischen Texten,2. Viertel 15. Jahrhundert,Alsace; Frisch proposed the workshop of Diebold Lauber. Source: https://kdih.badw.de/datenbank/handschrift/11/2/5,HMAN,4,partially digitised,http://www.ubs.sbg.ac.at/sosa/handschriften/mII180.htm,https://kdih.badw.de/datenbank/handschrift/11/2/5,German; Latin; Alsatian German,4
"Zürich, Zentralbibliothek",Ms. C 150,"Gallus Kemly, mon. Sangall.: Collectanea","15th century, undivided catalogue dating; constituent units not individually dated","St Gallen; probably written by the St Gallen monk Gallus Kemly, who owned it.",HMAN,4,fully digitised,https://www.e-codices.ch/fr/list/one/zbz/C0150,http://e-codices.unifr.ch/en/description/zbz/C0150/,Latin; German,2
Augsburg State and City Library,2° Cod. 497,"Konrad von Megenberg, Buch der Natur (Prologfassung), with Mönch von Salzburg song and Gottfried von Franken, Pelzbuch",mid-15th century; alternatively second half of 15th century,Eastern Swabia (dialect evidence); exact copying town not stated.,HAN,3,catalogue-only,,https://www.handschriftencensus.de/14649,German (Eastern Swabian/Swabian),3
"Badische Landesbibliothek, Karlsruhe",Cod. K 2790,"Sammelhandschrift mit aszetischen, medizinischen, astrologischen und mantischen Texten",Um 1455 (KdiH also presents a third-quarter-15th-century view in the astronomical entry),Unterelsass?; Basel diocesan calendar,MAN,3,catalogue-only,,https://kdih.badw.de/datenbank/handschrift/11/4/23,Latin; German,3
"Bayerische Staatsbibliothek, München",Cgm 377,"Heinrich Laufenberg, »Regimen«",3. Viertel 15. Jahrhundert,Southwest Germany; calendar points to Diocese of Constance,MAN,3,fully digitised,https://daten.digitale-sammlungen.de/~db/0010/bsb00107672/images/,https://kdih.badw.de/datenbank/handschrift/87/3/6,Alemannic German,2
"St. Gallen, Stiftsbibliothek",Cod. Sang. 760,Iatromathematisches Hausbuch,"2nd third of 15th century (Handschriftencensus); around mid-15th century (e-codices), with original text/compilation around 1400",Secular environment in southern Germany or Switzerland; no specific town established.,MAN,3,fully digitised,https://www.e-codices.ch/en/list/one/csg/0760,https://doi.org/10.5076/e-codices-csg-0760,German,2
"St. Gallen, Stiftsbibliothek",Cod. Sang. 827,Komputistisch-astronomisch-kosmografischer Sammelband,1425/28,Bodenseeraum,MAN,3,fully digitised,https://www.e-codices.ch/en/list/one/csg/0827,https://kdih.badw.de/datenbank/handschrift/87/2/19,Latin; Swabian German,2
Staats- und Stadtbibliothek Augsburg,2° Cod. 572,"Medical, herbal, prognostic and recipe miscellany in two parts",Part I: 1446 or earlier; Part II: 1446 (dated note at fol. 208v),"Part I Swabian; Part II Bavarian dialect; this is a linguistic/localization indication, not an inference from present Augsburg ownership.",HMA,3,catalogue-only,,https://handschriftencensus.de/4308,German (Swabian and Bavarian dialects); Latin,4
