prime,class,a,boundary,corrected_boundary,total,low,tail,top_nonzero_weight,top_coefficient,nonzero_weights
5,square,1,12,16,2,2,0,12,2,"12:2"
5,nonsquare,2,12,16,1,1,0,12,1,"12:1"
7,square,1,24,30,2,2,0,24,2,"24:2"
7,nonsquare,3,24,30,2,2,0,24,1,"18:1;24:1"
11,square,1,60,70,9,9,0,60,7,"30:1;40:6;50:6;60:7"
11,nonsquare,2,60,70,7,7,0,60,9,"30:9;40:9;50:2;60:9"
13,square,1,84,96,4,4,0,84,5,"36:3;48:2;60:2;72:5;84:5"
13,nonsquare,2,84,96,10,10,0,84,9,"36:9;60:11;72:7;84:9"
17,square,1,144,160,3,3,0,144,5,"48:10;80:16;96:7;112:6;128:10;144:5"
17,nonsquare,3,144,160,7,7,0,144,6,"48:1;64:5;80:9;96:15;112:12;128:10;144:6"
19,square,1,180,198,9,9,0,180,10,"54:10;72:5;90:6;108:13;126:2;144:7;162:13;180:10"
19,nonsquare,2,180,198,1,1,0,162,11,"54:11;72:13;90:5;108:1;126:8;144:9;162:11"
23,square,1,264,286,13,13,0,264,12,"66:18;88:5;110:16;132:4;154:5;176:4;198:2;220:15;242:1;264:12"
23,nonsquare,5,264,286,8,8,0,264,11,"66:18;88:10;110:6;132:3;154:14;176:18;198:5;220:6;242:9;264:11"
29,square,1,420,448,21,28,22,448,22,"84:15;112:8;140:25;168:1;196:19;224:19;252:20;280:6;308:2;336:17;364:10;392:27;420:4;448:22"
29,nonsquare,2,420,448,23,9,14,448,14,"84:5;112:4;140:19;168:27;196:25;224:9;252:8;280:20;308:28;336:17;364:28;392:14;420:8;448:14"
31,square,1,480,510,28,18,10,510,10,"120:11;150:27;180:3;210:1;240:23;270:22;300:8;330:6;360:28;390:29;420:24;450:28;480:25;510:10"
31,nonsquare,3,480,510,1,20,12,510,12,"90:30;120:3;150:29;180:17;210:18;240:28;270:17;300:28;330:18;360:20;390:20;420:26;450:5;480:9;510:12"
37,square,1,684,720,34,28,6,720,6,"108:29;144:8;180:7;216:34;252:6;288:31;324:9;360:34;396:32;432:7;468:6;504:4;540:6;576:13;612:5;648:22;684:34;720:6"
37,nonsquare,2,684,720,31,13,18,720,18,"144:27;180:30;216:18;252:16;288:7;324:35;360:26;396:18;432:20;468:27;504:5;540:2;612:31;648:23;684:24;720:18"
41,square,1,840,880,27,26,1,880,1,"120:22;160:6;200:31;240:39;280:12;320:7;360:10;400:36;440:37;480:38;520:14;600:8;640:25;680:31;720:18;760:15;800:31;840:15;880:1"
41,nonsquare,3,840,880,19,34,26,880,26,"120:23;160:14;200:1;280:8;320:24;360:31;400:7;440:18;480:5;520:21;560:22;600:31;640:4;680:11;720:13;760:37;800:5;840:5;880:26"
43,square,1,924,966,40,1,39,966,39,"126:2;168:17;210:19;252:24;294:35;336:38;378:17;420:36;462:25;504:20;546:1;588:41;630:26;672:31;714:13;756:25;798:39;840:14;882:33;924:18;966:39"
43,nonsquare,2,924,966,1,11,33,966,33,"126:26;168:15;210:33;252:25;294:25;336:39;378:23;420:18;462:25;504:39;546:26;588:24;630:9;672:27;714:11;756:7;798:2;840:28;882:17;924:22;966:33"
47,square,1,1104,1150,20,46,21,1150,21,"138:2;184:7;230:17;276:29;322:16;368:7;414:17;460:15;506:39;552:20;598:38;644:45;690:19;736:20;782:3;828:41;874:24;920:21;966:20;1012:29;1058:31;1104:9;1150:21"
47,nonsquare,5,1104,1150,36,30,6,1150,6,"138:3;184:22;230:33;276:40;322:11;368:9;414:34;460:35;506:1;552:42;644:11;690:28;736:17;782:4;828:26;874:17;920:3;966:1;1012:39;1058:12;1104:18;1150:6"
