prime,a,square_class,additive_translation_orbits,orbit_frobenius_classes,satisfying_roots,cubic_factor_incidence,second_factorial,third_factorial,multiplicity_distribution
5,1,1,24,8,24,8,0,0,"1:8"
5,2,-1,24,8,24,8,0,0,"1:8"
7,1,1,48,16,48,16,5,0,"1:6;2:5"
7,3,-1,48,16,48,16,3,0,"1:10;2:3"
11,1,1,120,40,120,40,4,0,"1:32;2:4"
11,2,-1,120,40,120,40,9,0,"1:22;2:9"
13,1,1,168,56,168,56,4,0,"1:48;2:4"
13,2,-1,168,56,168,56,7,0,"1:42;2:7"
17,1,1,288,96,288,96,27,2,"1:48;2:21;3:2"
17,3,-1,288,96,288,96,20,2,"1:62;2:14;3:2"
19,1,1,360,120,360,120,27,4,"1:78;2:15;3:4"
19,2,-1,360,120,360,120,22,2,"1:82;2:16;3:2"
23,1,1,528,176,528,176,23,4,"1:138;2:17;4:1"
23,5,-1,528,176,528,176,34,14,"1:138;2:10;3:2;4:3"
29,1,1,840,280,840,280,82,70,"1:194;2:30;3:2;4:3;8:1"
29,2,-1,840,280,840,280,64,10,"1:178;2:40;3:6;4:1"
