prime,a,square_class,cubic_incidence,cubic_second,cubic_third,linear_cubic,quadratic_cubic,centered_linear_cubic,cubic_support_members,max_Q3,multiplicity_distribution
5,1,1,8,0,0,6,4,-2,8,1,"0:17;1:8"
5,2,-1,8,0,0,10,2,2,8,1,"0:17;1:8"
7,1,1,16,5,0,14,6,-2,11,2,"0:38;1:6;2:5"
7,3,-1,16,3,0,18,8,2,13,2,"0:36;1:10;2:3"
11,1,1,40,4,0,34,16,-6,36,2,"0:85;1:32;2:4"
11,2,-1,40,9,0,48,18,8,31,2,"0:90;1:22;2:9"
13,1,1,56,4,0,66,38,10,52,2,"0:117;1:48;2:4"
13,2,-1,56,7,0,50,8,-6,49,2,"0:120;1:42;2:7"
17,1,1,96,27,2,92,44,-4,71,3,"0:218;1:48;2:21;3:2"
17,3,-1,96,20,2,102,42,6,78,3,"0:211;1:62;2:14;3:2"
19,1,1,120,27,4,110,52,-10,97,3,"0:264;1:78;2:15;3:4"
19,2,-1,120,22,2,132,54,12,100,3,"0:261;1:82;2:16;3:2"
23,1,1,176,23,4,204,106,28,156,4,"0:373;1:138;2:17;4:1"
23,5,-1,176,34,14,140,90,-36,153,4,"0:376;1:138;2:10;3:2;4:3"
29,1,1,280,82,70,284,150,4,230,8,"0:611;1:194;2:30;3:2;4:3;8:1"
29,2,-1,280,64,10,272,106,-8,225,4,"0:616;1:178;2:40;3:6;4:1"
31,1,1,320,49,4,292,124,-28,274,4,"0:687;1:230;2:43;4:1"
31,3,-1,320,68,10,344,142,24,261,4,"0:700;1:210;2:44;3:6;4:1"
37,1,1,456,48,2,488,220,32,410,3,"0:959;1:366;2:42;3:2"
37,2,-1,456,89,14,428,218,-28,381,3,"0:988;1:320;2:47;3:14"
41,1,1,560,88,14,590,298,30,484,4,"0:1197;1:418;2:58;3:6;4:2"
41,3,-1,560,98,14,542,268,-18,475,4,"0:1206;1:402;2:62;3:10;4:1"
43,1,1,616,105,6,604,266,-12,517,3,"0:1332;1:424;2:87;3:6"
43,2,-1,616,88,4,630,280,14,532,3,"0:1317;1:452;2:76;3:4"
47,1,1,736,130,24,756,366,20,626,4,"0:1583;1:532;2:82;3:8;4:4"
47,5,-1,736,135,12,720,422,-16,613,3,"0:1596;1:502;2:99;3:12"
53,1,1,936,151,14,890,464,-46,798,4,"0:2011;1:672;2:115;3:10;4:1"
53,2,-1,936,154,10,974,452,38,791,4,"0:2018;1:654;2:130;3:6;4:1"
59,1,1,1160,211,36,1102,540,-58,981,4,"0:2500;1:830;2:127;3:20;4:4"
59,2,-1,1160,225,38,1222,570,62,967,4,"0:2514;1:800;2:147;3:14;4:6"
61,1,1,1240,217,20,1258,632,18,1042,4,"0:2679;1:862;2:163;3:16;4:1"
61,2,-1,1240,206,44,1218,652,-22,1067,5,"0:2654;1:918;2:132;3:12;4:3;5:2"
67,1,1,1496,241,26,1488,766,-8,1280,4,"0:3209;1:1088;2:169;3:22;4:1"
67,2,-1,1496,303,40,1512,730,16,1229,4,"0:3260;1:994;2:207;3:24;4:4"
71,1,1,1680,281,24,1654,844,-26,1422,4,"0:3619;1:1186;2:215;3:20;4:1"
71,7,-1,1680,290,34,1714,806,34,1419,4,"0:3622;1:1182;2:218;3:14;4:5"
73,1,1,1776,316,48,1844,860,68,1504,4,"0:3825;1:1272;2:196;3:32;4:4"
73,5,-1,1776,350,46,1702,882,-74,1468,4,"0:3861;1:1198;2:236;3:30;4:4"
79,1,1,2080,381,70,2062,972,-18,1756,5,"0:4485;1:1478;2:241;3:30;4:5;5:2"
79,3,-1,2080,354,24,2102,1000,22,1750,3,"0:4491;1:1444;2:282;3:24"
83,1,1,2296,411,42,2232,1182,-64,1925,4,"0:4964;1:1592;2:297;3:34;4:2"
83,2,-1,2296,360,36,2352,1130,56,1971,4,"0:4918;1:1680;2:258;3:32;4:1"
89,1,1,2640,452,54,2650,1346,10,2239,4,"0:5682;1:1886;2:308;3:42;4:3"
89,3,-1,2640,422,50,2626,1276,-14,2264,4,"0:5657;1:1930;2:296;3:34;4:4"
97,1,1,3136,548,62,3280,1480,144,2646,4,"0:6763;1:2210;2:386;3:46;4:4"
97,5,-1,3136,531,46,2990,1482,-146,2649,4,"0:6760;1:2204;2:405;3:38;4:2"
101,1,1,3400,560,72,3316,1692,-84,2897,6,"0:7304;1:2440;2:419;3:32;4:5;6:1"
101,2,-1,3400,541,40,3484,1650,84,2898,4,"0:7303;1:2434;2:427;3:36;4:1"
