prime,N_square,N_nonsquare,total,both_even,both_positive,both_below_2p,both_below_3p_over_2
5,4,6,10,true,true,true,true
7,10,8,18,true,true,true,true
11,14,14,28,true,true,true,true
13,10,6,16,true,true,true,true
17,18,14,32,true,true,true,true
19,22,16,38,true,true,true,true
23,12,22,34,true,true,true,true
29,36,28,64,true,true,true,true
31,30,38,68,true,true,true,true
37,36,36,72,true,true,true,true
41,50,34,84,true,true,true,true
43,42,36,78,true,true,true,true
47,38,40,78,true,true,true,true
53,56,38,94,true,true,true,true
59,46,52,98,true,true,true,true
61,42,54,96,true,true,true,true
67,62,80,142,true,true,true,true
71,72,76,148,true,true,true,true
73,74,66,140,true,true,true,true
79,80,64,144,true,true,true,true
83,86,82,168,true,true,true,true
89,64,78,142,true,true,true,true
97,84,82,166,true,true,true,true
101,76,116,192,true,true,true,true
103,88,90,178,true,true,true,true
107,90,104,194,true,true,true,true
109,78,112,190,true,true,true,true
113,90,84,174,true,true,true,true
127,156,116,272,true,true,true,true
131,110,122,232,true,true,true,true
137,150,126,276,true,true,true,true
139,126,132,258,true,true,true,true
149,106,168,274,true,true,true,true
151,118,142,260,true,true,true,true
157,146,150,296,true,true,true,true
163,140,142,282,true,true,true,true
167,104,118,222,true,true,true,true
173,158,130,288,true,true,true,true
179,156,170,326,true,true,true,true
181,184,184,368,true,true,true,true
191,192,176,368,true,true,true,true
193,170,194,364,true,true,true,true
197,176,184,360,true,true,true,true
199,166,180,346,true,true,true,true
211,184,190,374,true,true,true,true
223,164,198,362,true,true,true,true
227,186,206,392,true,true,true,true
229,170,226,396,true,true,true,true
233,208,204,412,true,true,true,true
239,198,212,410,true,true,true,true
241,184,188,372,true,true,true,true
251,224,222,446,true,true,true,true
257,222,224,446,true,true,true,true
263,260,196,456,true,true,true,true
269,220,250,470,true,true,true,true
271,264,262,526,true,true,true,true
277,224,260,484,true,true,true,true
281,228,262,490,true,true,true,true
283,274,242,516,true,true,true,true
293,240,276,516,true,true,true,true
