prime,a,square_class,quadratic_incidence,mixed_linear_quadratic,second_factorial,third_factorial,L,n0,n1,n2,n3
5,1,1,10,10,1,0,2,16,8,1,0
5,2,-1,10,10,3,0,3,18,4,3,0
7,1,1,21,21,3,0,3,31,15,3,0
7,3,-1,21,21,6,1,4,33,12,3,1
11,1,1,55,55,10,1,5,75,38,7,1
11,2,-1,55,55,15,3,6,78,34,6,3
13,1,1,78,78,15,2,6,104,54,9,2
13,2,-1,78,78,21,1,7,111,39,18,1
17,1,1,136,136,28,5,8,176,95,13,5
17,3,-1,136,136,36,4,9,185,76,24,4
19,1,1,171,171,36,3,9,223,108,27,3
19,2,-1,171,171,45,7,10,228,102,24,7
23,1,1,253,253,55,5,11,326,158,40,5
23,5,-1,253,253,66,12,12,330,157,30,12
29,1,1,406,406,91,16,14,510,272,43,16
29,2,-1,406,406,105,14,15,526,238,63,14
31,1,1,465,465,105,12,15,589,291,69,12
31,3,-1,465,465,120,21,16,595,288,57,21
37,1,1,666,666,153,24,18,832,432,81,24
37,2,-1,666,666,171,23,19,851,393,102,23
41,1,1,820,820,190,31,20,1020,533,97,31
41,3,-1,820,820,210,30,21,1041,490,120,30
43,1,1,903,903,210,27,21,1129,564,129,27
43,2,-1,903,903,231,39,22,1138,558,114,39
47,1,1,1081,1081,253,35,23,1346,680,148,35
47,5,-1,1081,1081,276,48,24,1356,673,132,48
53,1,1,1378,1378,325,54,26,1702,890,163,54
53,2,-1,1378,1378,351,52,27,1730,832,195,52
59,1,1,1711,1711,406,59,29,2117,1076,229,59
59,2,-1,1711,1711,435,75,30,2130,1066,210,75
61,1,1,1830,1830,435,68,30,2258,1164,231,68
61,2,-1,1830,1830,465,69,31,2287,1107,258,69
67,1,1,2211,2211,528,77,33,2729,1386,297,77
67,2,-1,2211,2211,561,91,34,2748,1362,288,91
71,1,1,2485,2485,595,89,35,3062,1562,328,89
71,7,-1,2485,2485,630,108,36,3078,1549,306,108
73,1,1,2628,2628,630,104,36,3227,1680,318,104
73,5,-1,2628,2628,666,98,37,3269,1590,372,98
79,1,1,3081,3081,741,104,39,3797,1911,429,104
79,3,-1,3081,3081,780,133,40,3807,1920,381,133
83,1,1,3403,3403,820,123,41,4183,2132,451,123
83,2,-1,3403,3403,861,147,42,4200,2122,420,147
89,1,1,3916,3916,946,157,44,4794,2495,475,157
89,3,-1,3916,3916,990,154,45,4841,2398,528,154
97,1,1,4656,4656,1128,184,48,5697,2952,576,184
97,5,-1,4656,4656,1176,180,49,5749,2844,636,180
101,1,1,5050,5050,1225,202,50,6174,3206,619,202
101,2,-1,5050,5050,1275,200,51,6226,3100,675,200
