prime,square_class,chi_minus_one,chi_three,chi_minus_three,genus2_S1,genus2_S2,genus2_H1_trace,genus2_H1_square_trace,genus2_wedge2_trace,elliptic_trace,predicted_raw_six_line_sum,predicted_third_factorial_moment,direct_raw_six_line_sum,direct_third_factorial_moment
5,1,1,-1,-1,0,-20,0,20,-10,-2,7,0,7,0
5,-1,1,-1,-1,0,-20,0,20,-10,-2,-13,0,-13,0
7,1,-1,-1,1,0,-4,0,4,-2,0,-7,0,-7,0
7,-1,-1,-1,1,0,-4,0,4,-2,0,25,1,25,1
11,1,-1,1,-1,0,44,0,-44,22,4,-31,1,-31,1
11,-1,-1,1,-1,0,44,0,-44,22,4,13,3,13,3
13,1,1,1,1,4,44,-4,-44,30,-2,19,2,19,2
13,-1,1,1,1,4,44,-4,-44,30,-2,11,1,11,1
17,1,1,-1,-1,0,-68,0,68,-34,2,19,5,19,5
17,-1,1,-1,-1,0,-68,0,68,-34,2,-49,4,-49,4
19,1,-1,-1,1,0,-52,0,52,-26,-4,-43,3,-43,3
19,-1,-1,-1,1,0,-52,0,52,-26,-4,85,7,85,7
23,1,-1,1,-1,0,92,0,-92,46,-8,-67,5,-67,5
23,-1,-1,1,-1,0,92,0,-92,46,-8,25,12,25,12
29,1,1,-1,-1,0,-116,0,116,-58,6,31,16,31,16
29,-1,1,-1,-1,0,-116,0,116,-58,6,-85,14,-85,14
31,1,-1,-1,1,0,92,0,-92,46,8,17,12,17,12
31,-1,-1,-1,1,0,92,0,-92,46,8,49,21,49,21
37,1,1,1,1,20,-52,-20,52,174,6,139,24,139,24
37,-1,1,1,1,20,-52,-20,52,174,6,-61,23,-61,23
41,1,1,-1,-1,0,-164,0,164,-82,-6,43,31,43,31
41,-1,1,-1,-1,0,-164,0,164,-82,-6,-121,30,-121,30
43,1,-1,-1,1,0,44,0,-44,22,4,-19,27,-19,27
43,-1,-1,-1,1,0,44,0,-44,22,4,109,39,109,39
47,1,-1,1,-1,0,188,0,-188,94,0,-139,35,-139,35
47,-1,-1,1,-1,0,188,0,-188,94,0,49,48,49,48
53,1,1,-1,-1,0,-212,0,212,-106,-2,55,54,55,54
53,-1,1,-1,-1,0,-212,0,212,-106,-2,-157,52,-157,52
59,1,-1,1,-1,0,236,0,-236,118,4,-175,59,-175,59
59,-1,-1,1,-1,0,236,0,-236,118,4,61,75,61,75
61,1,1,1,1,-28,-148,28,148,318,-2,259,68,259,68
61,-1,1,1,1,-28,-148,28,148,318,-2,-133,69,-133,69
67,1,-1,-1,1,0,-244,0,244,-122,-4,-187,77,-187,77
67,-1,-1,-1,1,0,-244,0,244,-122,-4,325,91,325,91
71,1,-1,1,-1,0,284,0,-284,142,8,-211,89,-211,89
71,-1,-1,1,-1,0,284,0,-284,142,8,73,108,73,108
73,1,1,1,1,-20,92,20,-92,246,10,175,104,175,104
73,-1,1,1,1,-20,92,20,-92,246,10,-25,98,-25,98
79,1,-1,-1,1,0,284,0,-284,142,-8,65,104,65,104
79,-1,-1,-1,1,0,284,0,-284,142,-8,97,133,97,133
83,1,-1,1,-1,0,332,0,-332,166,-4,-247,123,-247,123
83,-1,-1,1,-1,0,332,0,-332,166,-4,85,147,85,147
89,1,1,-1,-1,0,-356,0,356,-178,-6,91,157,91,157
89,-1,1,-1,-1,0,-356,0,356,-178,-6,-265,154,-265,154
97,1,1,1,1,28,-4,-28,4,390,2,295,184,295,184
97,-1,1,1,1,28,-4,-28,4,390,2,-97,180,-97,180
101,1,1,-1,-1,0,-404,0,404,-202,-18,103,202,103,202
101,-1,1,-1,-1,0,-404,0,404,-202,-18,-301,200,-301,200
