p,p_next,eta,H,primorial_digits,candidate_prime_count,successful_pair_count_Z,first_successful_offset,singular_series,singular_series_over_log_p,lambda_main,Z_over_lambda,weighted_pair_sum,mu_main,weighted_over_mu,weighted_over_H,e_gamma_over_2,logP
29,31,0.9,864,10,140,31,61,6.283858556713015,1.8661438952746414,40.24850577312946,0.7702149285923575,700.3022325176099,909.2296272392423,0.77021492870177,0.8105349913398262,0.890536208995099,22.590394530115656
43,47,0.9,1988,17,286,54,47,7.0249774121757715,1.867748908882603,56.09369544932567,0.9626750309004496,2003.9438788007203,2081.6410673145924,0.9626750309004497,1.0080200597589137,0.890536208995099,37.1100718296429
59,61,0.9,3348,22,455,61,61,7.45034794370384,1.827168492306335,70.68437676632988,0.8629912689427153,2989.4909761174586,3464.103385170979,0.8629912689427153,0.8929184516479864,0.890536208995099,49.0080487888108
79,83,0.9,6200,31,784,83,151,8.017396232401778,1.8348762825662512,91.04166586777362,0.911670488549132,5830.43480277164,6395.331291298484,0.911670488549132,0.940392710124458,0.890536208995099,70.2462024430318
101,103,0.9,9548,39,1156,121,233,8.379884520255136,1.8157455454685731,110.63775406057928,1.0936592217313712,10689.564820824527,9774.127633562019,1.0936592217313712,1.1195606222061716,0.890536208995099,88.34351091590518
131,137,0.9,16892,51,1916,138,229,8.838581966788968,1.8129690719852505,146.4624016621372,0.9422213375849285,16116.908061189317,17105.22508702643,0.9422213375849285,0.9541148508873619,0.890536208995099,116.78918884919796
167,173,0.9,26936,66,2915,186,199,9.261936662252788,1.8096810980471334,178.86436842046336,1.0398940920572992,28259.51189852495,27175.374987098035,1.0398940920572992,1.049135428368167,0.890536208995099,151.93285966948898
211,223,0.9,44756,85,4604,232,607,9.66392262961712,1.805713527637987,230.58923185026958,1.0061181007387479,44988.36454195615,44714.79492211023,1.0061181007387479,1.005191807622579,0.890536208995099,193.9153644049834
263,269,0.9,65124,106,6451,259,401,10.03617540832028,1.8011302900752446,267.56821465890033,0.9679774570016726,62999.209259901996,65083.34342314455,0.9679774570016726,0.9673731536745592,0.890536208995099,243.2401901926718
331,337,0.9,102212,133,9722,300,421,10.420287570518546,1.795945359326,332.1645516885428,0.9031668143845096,91739.6628224687,101575.54657827798,0.9031668143845096,0.8975429775610368,0.890536208995099,305.79887607489565
419,421,0.9,159516,169,14559,378,457,10.819054797414626,1.7918658647896608,406.3118469667094,0.9303199077800232,146958.35644061113,157965.40008618182,0.9303199077800232,0.9212765894368661,0.890536208995099,388.7787207423575
